6,6,13,10,10,10,10,10,10,10,10,10,10,15,6,6,6,6,13,10,10,10,10,10,10,10,10,10,10,15,6,6
6,13,11,18,18,18,18,18,18,18,18,18,18,9,15,6,6,13,11,18,18,18,18,18,18,18,18,18,18,9,15,6
13,11,18,18,18,18,18,18,18,18,18,18,18,18,9,15,13,11,18,18,18,18,18,18,18,18,18,18,18,18,9,15
7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,9,11,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5
7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5
7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5
7,18,18,18,18,18,1,3,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,3,18,18,18,18,18,5
7,18,18,18,18,18,5,21,3,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,23,7,18,18,18,18,18,5
7,18,18,18,18,18,5,6,21,3,18,18,18,18,18,18,18,18,18,18,18,18,1,23,6,7,18,18,18,18,18,5
7,18,18,18,18,18,5,6,6,21,22,22,22,22,22,22,22,22,22,22,22,22,23,6,6,7,18,18,18,18,18,5
7,18,18,18,18,18,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,18,18,18,18,18,5
7,18,18,18,18,18,5,6,6,13,14,14,14,14,14,14,14,14,14,14,14,14,15,6,6,7,18,18,18,18,18,5
7,18,18,18,18,18,5,6,13,11,18,18,18,18,18,18,0,18,18,18,18,18,9,15,6,7,18,18,18,18,18,5
7,18,18,18,18,18,5,13,11,18,18,18,18,18,18,18,0,18,18,18,18,18,18,9,15,7,18,18,18,18,18,5
7,18,18,18,18,18,9,11,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,18,9,11,18,18,18,18,18,5
7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5
7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5
7,18,18,18,18,18,18,18,18,18,18,18,18,18,18,1,3,18,18,18,18,18,18,18,18,18,18,18,18,18,18,5
21,3,18,18,18,18,18,18,18,18,18,18,18,18,1,23,21,3,18,18,18,18,18,18,18,18,18,18,18,18,1,23
6,21,2,2,2,3,18,18,18,18,18,18,18,1,23,6,6,21,3,18,18,18,18,18,18,18,1,22,22,22,23,6
6,6,6,6,6,21,2,2,2,2,2,2,2,23,6,6,6,6,21,2,2,2,2,2,2,2,23,6,6,6,6,6
